quarantine_path,original_path,status,quarantine_md5,original_md5
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Various Artists/(2021) The Annual 2022/Various Artists - (2021) The Annual 2022 - 01-16. Feels.flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Various Artists/(2021) The Annual 2022/Various Artists - (2021) The Annual 2022 - 01-16. Feels.flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Various Artists/(2014) Majestic Casual - Chapter 2/Various Artists - (2014) Majestic Casual - Chapter 2 - 02-03. Chained (Liar remix).flac","/Volumes/dotad/MUSIC/Various Artists/(2014) Majestic Casual - Chapter 2/Various Artists - (2014) Majestic Casual - Chapter 2 - 02-03. Chained (Liar remix).flac","MISSING","MD5=274b467cb7ac6c1135799a319207068f",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Various Artists/(2017) DJ-Kicks: The Exclusives Vol. 3/Various Artists - (2017) DJ-Kicks: The Exclusives Vol. 3 - 03. Wrong With Us.flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Various Artists/(2017) DJ-Kicks: The Exclusives Vol. 3/Various Artists - (2017) DJ-Kicks: The Exclusives Vol. 3 - 03. Wrong With Us.flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alain Delorme/(2018) Romantique avec toi et autres succès/Alain Delorme - (2018) Romantique avec toi et autres succès - 15. J'ai un petit faible pour toi (1).flac","/Volumes/dotad/MUSIC/Alain Delorme/(2018) Romantique avec toi et autres succès/Alain Delorme - (2018) Romantique avec toi et autres succès - 15. J'ai un petit faible pour toi (1).flac","MISSING","MD5=2ac3744b59e5523bf668cb0debce36f8",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Gorillaz/(2011) The Singles Collection 2001-2011/Gorillaz - (2011) The Singles Collection 2001-2011 - 01-15. 19-2000 (Soulchild Remix).flac","/Volumes/dotad/MUSIC/Gorillaz/(2011) The Singles Collection 2001-2011/Gorillaz - (2011) The Singles Collection 2001-2011 - 01-15. 19-2000 (Soulchild Remix).flac","MISSING","MD5=0b9492e7ceadd01fd2729d71569b1444",""
"olumes/dotad/MUSIC/_quarantine_from_gemini/AJR/(2017) The Click/AJR - (2017) The Click - 04. Sober Up (1).flac","/Volumes/dotad/MUSIC/olumes/dotad/MUSIC/_quarantine_from_gemini/AJR/(2017) The Click/AJR - (2017) The Click - 04. Sober Up (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Fouk/(2015) Kill Frenzy EP/Fouk - (2015) Kill Frenzy EP - 02. Lefty's Bar (1).flac","/Volumes/dotad/MUSIC/Fouk/(2015) Kill Frenzy EP/Fouk - (2015) Kill Frenzy EP - 02. Lefty's Bar (1).flac","MISSING","MD5=03536ab603f1997620746c7c94d08b29",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/DJ Spen & Thommy Davis/(2016) The Spen & Thommy Disco Dub Anthems, Vol. 1/DJ Spen & Thommy Davis - (2016) The Spen & Thommy Disco Dub Anthems, Vol. 1 - 07. Without Your Love (feat. Randy Roberts) [Spen & Thommy Heavy Vibes Mix].flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/DJ Spen & Thommy Davis/(2016) The Spen & Thommy Disco Dub Anthems, Vol. 1/DJ Spen & Thommy Davis - (2016) The Spen & Thommy Disco Dub Anthems, Vol. 1 - 07. Without Your Love (feat. Randy Roberts) [Spen & Thommy Heavy Vibes Mix].flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Air/(2015) The Remixes, Vol.1/Air - (2015) The Remixes, Vol.1 - 06. Le soleil est près de moi (Automator remix) (1).flac","/Volumes/dotad/MUSIC/Air/(2015) The Remixes, Vol.1/Air - (2015) The Remixes, Vol.1 - 06. Le soleil est près de moi (Automator remix) (1).flac","MISSING","MD5=412d0ab52f57580f6d09d9ac1ff90c45",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Johann Sebastian Bach; Tatiana Nikolayeva/(1992) Die Kunst der Fuge (The Art of Fugue)/Johann Sebastian Bach; Tatiana Nikolayeva - (1992) Die Kunst der Fuge (The Art of Fugue) - 01-07. The Art of Fugue, BWV 1080: Contrapunctus 1.flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Johann Sebastian Bach; Tatiana Nikolayeva/(1992) Die Kunst der Fuge (The Art of Fugue)/Johann Sebastian Bach; Tatiana Nikolayeva - (1992) Die Kunst der Fuge (The Art of Fugue) - 01-07. The Art of Fugue, BWV 1080: Contrapunctus 1.flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Johann Sebastian Bach; Tatiana Nikolayeva/(1992) Die Kunst der Fuge (The Art of Fugue)/Johann Sebastian Bach; Tatiana Nikolayeva - (1992) Die Kunst der Fuge (The Art of Fugue) - 01-03. Duet no. 1 in E minor, BWV 802.flac","/Volumes/dotad/MUSIC/Johann Sebastian Bach; Tatiana Nikolayeva/(1992) Die Kunst der Fuge (The Art of Fugue)/Johann Sebastian Bach; Tatiana Nikolayeva - (1992) Die Kunst der Fuge (The Art of Fugue) - 01-03. Duet no. 1 in E minor, BWV 802.flac","MISSING","MD5=e51d01c4fe553dcf08aa7aeaf46bf71b",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/WhoMadeWho/(2019) Watergate 26/WhoMadeWho - (2019) Watergate 26 - 19. Smile.flac","/Volumes/dotad/MUSIC/WhoMadeWho/(2019) Watergate 26/WhoMadeWho - (2019) Watergate 26 - 19. Smile.flac","MISSING","MD5=02ac8462740ec8a47b002aaf8146c1ed",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Dan Brown read by Paul Michael/(2009) The Lost Symbol/Dan Brown read by Paul Michael - (2009) The Lost Symbol - 11-01. Part 209.flac","/Volumes/dotad/MUSIC/Dan Brown read by Paul Michael/(2009) The Lost Symbol/Dan Brown read by Paul Michael - (2009) The Lost Symbol - 11-01. Part 209.flac","MISSING","MD5=25a88d09245c457cbf1672c6008e1917",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Jacques Loussier/(2002) Play Bach/Jacques Loussier - (2002) Play Bach - 03. Chromatic Fantasia in D Minor (1).flac","/Volumes/dotad/MUSIC/Jacques Loussier/(2002) Play Bach/Jacques Loussier - (2002) Play Bach - 03. Chromatic Fantasia in D Minor (1).flac","MISSING","MD5=d1822c8296b618ef2fd12325810791b4",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Jacques Loussier/(2002) Play Bach/Jacques Loussier - (2002) Play Bach - 02. Invention No. 8 in F Major (4).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Jacques Loussier/(2002) Play Bach/Jacques Loussier - (2002) Play Bach - 02. Invention No. 8 in F Major (4).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Jacques Loussier/(2002) Play Bach/Jacques Loussier - (2002) Play Bach - 10. Prelude and Fugue No.1 in C major (1).flac","/Volumes/dotad/MUSIC/Jacques Loussier/(2002) Play Bach/Jacques Loussier - (2002) Play Bach - 10. Prelude and Fugue No.1 in C major (1).flac","MISSING","MD5=e073656ed9ba982467dfbfa9ae8797d7",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Jacques Loussier/(2002) Play Bach/Jacques Loussier - (2002) Play Bach - 02. Invention No. 8 in F Major (2).flac","/Volumes/dotad/MUSIC/Jacques Loussier/(2002) Play Bach/Jacques Loussier - (2002) Play Bach - 02. Invention No. 8 in F Major (2).flac","MISSING","MD5=0d8ae8238404877e250386c2a7683c25",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Jacques Loussier/(2002) Play Bach/Jacques Loussier - (2002) Play Bach - 02. Invention No. 8 in F Major (1).flac","/Volumes/dotad/MUSIC/Jacques Loussier/(2002) Play Bach/Jacques Loussier - (2002) Play Bach - 02. Invention No. 8 in F Major (1).flac","MISSING","MD5=545e6d2c1ca15fee380165ec82a2beb0",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Jacques Loussier/(2002) Play Bach/Jacques Loussier - (2002) Play Bach - 02. Invention No. 8 in F Major (3).flac","/Volumes/dotad/MUSIC/Jacques Loussier/(2002) Play Bach/Jacques Loussier - (2002) Play Bach - 02. Invention No. 8 in F Major (3).flac","MISSING","MD5=2856d0beecb488f1caffe51968c0b715",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Mindchatter/(2025) Giving Up On Words/Mindchatter - (2025) Giving Up On Words - 02. Laundry (1).flac","/Volumes/dotad/MUSIC/Mindchatter/(2025) Giving Up On Words/Mindchatter - (2025) Giving Up On Words - 02. Laundry (1).flac","MISSING","MD5=f56bbda263f1456b0316ceb990762014",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Aly-Us/(1992) Follow Me (single)/Aly-Us - (1992) Follow Me (single) - 01. Follow Me (club mix) (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Aly-Us/(1992) Follow Me (single)/Aly-Us - (1992) Follow Me (single) - 01. Follow Me (club mix) (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Taha Fahssi/(2023) 27/Taha Fahssi - (2023) 27 - 19. BLUE LOVE.flac","/Volumes/dotad/MUSIC/Taha Fahssi/(2023) 27/Taha Fahssi - (2023) 27 - 19. BLUE LOVE.flac","MISSING","MD5=2d39d82c0545ac566574bbdcd9f302f5",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/KAYTRANADA/(2025) AIN'T NO DAMN WAY!/KAYTRANADA - (2025) AIN'T NO DAMN WAY! - 01. SPACE INVADER (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/KAYTRANADA/(2025) AIN'T NO DAMN WAY!/KAYTRANADA - (2025) AIN'T NO DAMN WAY! - 01. SPACE INVADER (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/·Corvex·/(2025) Mood Grooves Vol. 5/·Corvex· - (2025) Mood Grooves Vol. 5 - 13. Ether.flac","/Volumes/dotad/MUSIC/·Corvex·/(2025) Mood Grooves Vol. 5/·Corvex· - (2025) Mood Grooves Vol. 5 - 13. Ether.flac","MISSING","MD5=ab5c2714d00e682f4fa4102f14c9588d",""
"olumes/dotad/MUSIC/_quarantine_from_gemini/Crazy P/(2012) Live in London 2012/Crazy P - (2012) Live in London 2012 - 01. Open for Service - Live.flac","/Volumes/dotad/MUSIC/olumes/dotad/MUSIC/_quarantine_from_gemini/Crazy P/(2012) Live in London 2012/Crazy P - (2012) Live in London 2012 - 01. Open for Service - Live.flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Crazy P/(2012) Live in London 2012/Crazy P - (2012) Live in London 2012 - 09. Future Beat - Live.flac","/Volumes/dotad/MUSIC/Crazy P/(2012) Live in London 2012/Crazy P - (2012) Live in London 2012 - 09. Future Beat - Live.flac","MISSING","MD5=5cbee83223da1e42447e2e30327a5469",""
"olumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah/(2017) Manara Remixed/Alsarah - (2017) Manara Remixed - 03. Salam Nubia (Dj Khalab Remix) (1).flac","/Volumes/dotad/MUSIC/olumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah/(2017) Manara Remixed/Alsarah - (2017) Manara Remixed - 03. Salam Nubia (Dj Khalab Remix) (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah/(2022) Manara Remixed/Alsarah - (2022) Manara Remixed - 05. Ya Watan (Captain Planet Remix) (1).flac","/Volumes/dotad/MUSIC/Alsarah/(2022) Manara Remixed/Alsarah - (2022) Manara Remixed - 05. Ya Watan (Captain Planet Remix) (1).flac","MISSING","MD5=12402ad0c16d09ca1572e09a0b0b7f59",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah/(2022) Manara Remixed/Alsarah - (2022) Manara Remixed - 01. Alforag (iZem Remix) (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah/(2022) Manara Remixed/Alsarah - (2022) Manara Remixed - 01. Alforag (iZem Remix) (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah/(2022) Manara Remixed/Alsarah - (2022) Manara Remixed - 02. 3yan T3ban (Oddisee Remix) (1).flac","/Volumes/dotad/MUSIC/Alsarah/(2022) Manara Remixed/Alsarah - (2022) Manara Remixed - 02. 3yan T3ban (Oddisee Remix) (1).flac","MISSING","MD5=8d95d4852ebfbed8934dd4c655fe1dc8",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah/(2022) Manara Remixed/Alsarah - (2022) Manara Remixed - 08. Albahr (Sufyvn Remix) (1).flac","/Volumes/dotad/MUSIC/Alsarah/(2022) Manara Remixed/Alsarah - (2022) Manara Remixed - 08. Albahr (Sufyvn Remix) (1).flac","MISSING","MD5=2284e66f427dd3b273266673e21d42ed",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah/(2022) Manara Remixed/Alsarah - (2022) Manara Remixed - 04. Nar (Nickodemus & Kiko Navarro Remix) (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah/(2022) Manara Remixed/Alsarah - (2022) Manara Remixed - 04. Nar (Nickodemus & Kiko Navarro Remix) (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Barcoder/(2023) Quarantine EP/Barcoder - (2023) Quarantine EP - 02. Cold Carves My Flesh (1).flac","/Volumes/dotad/MUSIC/Barcoder/(2023) Quarantine EP/Barcoder - (2023) Quarantine EP - 02. Cold Carves My Flesh (1).flac","MISSING","MD5=5b7c93f176b937f8146bd3843753b9e4",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Amon Tobin/(2021) Bricolage/Amon Tobin - (2021) Bricolage - 01. Stoney Street (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Amon Tobin/(2021) Bricolage/Amon Tobin - (2021) Bricolage - 01. Stoney Street (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alex M.O.R.P.H./(2013) Prime Mover - The Remixes/Alex M.O.R.P.H. - (2013) Prime Mover - The Remixes - 18. I See You (Matt Bukovski remix) (1).flac","/Volumes/dotad/MUSIC/Alex M.O.R.P.H./(2013) Prime Mover - The Remixes/Alex M.O.R.P.H. - (2013) Prime Mover - The Remixes - 18. I See You (Matt Bukovski remix) (1).flac","MISSING","MD5=2fb9d54ca924d8a8e0ef58b93b3dba1b",""
"olumes/dotad/MUSIC/_quarantine_from_gemini/Anaïs/(2008) The Love Album/Anaïs - (2008) The Love Album - 13. Elle sort qu'avec des blacks (pimped version) (1).flac","/Volumes/dotad/MUSIC/olumes/dotad/MUSIC/_quarantine_from_gemini/Anaïs/(2008) The Love Album/Anaïs - (2008) The Love Album - 13. Elle sort qu'avec des blacks (pimped version) (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Al-Qasar/(2022) Who Are We?/Al-Qasar - (2022) Who Are We? - 01. Awtar al sharq (1).flac","/Volumes/dotad/MUSIC/Al-Qasar/(2022) Who Are We?/Al-Qasar - (2022) Who Are We? - 01. Awtar al sharq (1).flac","MISSING","MD5=b99ab7569657d6b923e40535bde065ab",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Al-Qasar/(2024) Uncovered/Al-Qasar - (2024) Uncovered - 03. Blue Tataouine (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Al-Qasar/(2024) Uncovered/Al-Qasar - (2024) Uncovered - 03. Blue Tataouine (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Al-Qasar/(2024) Uncovered/Al-Qasar - (2024) Uncovered - 01. Kişisel İsa (Personal Jesus) (1).flac","/Volumes/dotad/MUSIC/Al-Qasar/(2024) Uncovered/Al-Qasar - (2024) Uncovered - 01. Kişisel İsa (Personal Jesus) (1).flac","MISSING","MD5=4fb1ab5c01d3fd921ea18d8ec781a201",""
"olumes/dotad/MUSIC/_quarantine_from_gemini/Al-Qasar/(2024) Uncovered/Al-Qasar - (2024) Uncovered - 06. Enyio Nkondon (1).flac","/Volumes/dotad/MUSIC/olumes/dotad/MUSIC/_quarantine_from_gemini/Al-Qasar/(2024) Uncovered/Al-Qasar - (2024) Uncovered - 06. Enyio Nkondon (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Al-Qasar/(2024) Uncovered/Al-Qasar - (2024) Uncovered - 04. Ssir W Ztam (Get Busy) (1).flac","/Volumes/dotad/MUSIC/Al-Qasar/(2024) Uncovered/Al-Qasar - (2024) Uncovered - 04. Ssir W Ztam (Get Busy) (1).flac","MISSING","MD5=0c50f4ba1ba923c639d9b0b3c708ca5d",""
"olumes/dotad/MUSIC/_quarantine_from_gemini/Pan Amsterdam/(2019) Elevator Music, Vol. 1/Pan Amsterdam - (2019) Elevator Music, Vol. 1 - 04. All Kindsa Don't.flac","/Volumes/dotad/MUSIC/olumes/dotad/MUSIC/_quarantine_from_gemini/Pan Amsterdam/(2019) Elevator Music, Vol. 1/Pan Amsterdam - (2019) Elevator Music, Vol. 1 - 04. All Kindsa Don't.flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Pan Amsterdam/(2019) Elevator Music, Vol. 1/Pan Amsterdam - (2019) Elevator Music, Vol. 1 - 01. No Snare.flac","/Volumes/dotad/MUSIC/Pan Amsterdam/(2019) Elevator Music, Vol. 1/Pan Amsterdam - (2019) Elevator Music, Vol. 1 - 01. No Snare.flac","MISSING","MD5=8ceccd80a3bdcfd681b1630e0a4a4f56",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Black Coffee & David Guetta feat. Delilah Montagu/(2018) Drive (Remixes)/Black Coffee & David Guetta feat. Delilah Montagu - (2018) Drive (Remixes) - 05. Drive (Pablo Fierro remix) (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Black Coffee & David Guetta feat. Delilah Montagu/(2018) Drive (Remixes)/Black Coffee & David Guetta feat. Delilah Montagu - (2018) Drive (Remixes) - 05. Drive (Pablo Fierro remix) (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alanis Morissette/(2015) Jagged Little Pill (collector's edition)/Alanis Morissette - (2015) Jagged Little Pill (collector's edition) - 05. Right Through You (1).flac","/Volumes/dotad/MUSIC/Alanis Morissette/(2015) Jagged Little Pill (collector's edition)/Alanis Morissette - (2015) Jagged Little Pill (collector's edition) - 05. Right Through You (1).flac","MISSING","MD5=e89246e3b6b6fbd4994057764abab341",""
"mes/dotad/MUSIC/_quarantine_from_gemini/Alanis Morissette/(2020) Jagged Little Pill/Alanis Morissette - (2020) Jagged Little Pill - 10. Ironic (1).flac","/Volumes/dotad/MUSIC/mes/dotad/MUSIC/_quarantine_from_gemini/Alanis Morissette/(2020) Jagged Little Pill/Alanis Morissette - (2020) Jagged Little Pill - 10. Ironic (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alanis Morissette/(2020) Jagged Little Pill/Alanis Morissette - (2020) Jagged Little Pill - 04. Hand in My Pocket (1).flac","/Volumes/dotad/MUSIC/Alanis Morissette/(2020) Jagged Little Pill/Alanis Morissette - (2020) Jagged Little Pill - 04. Hand in My Pocket (1).flac","MISSING","MD5=13544178744138358a1b739a322ffcf2",""
"olumes/dotad/MUSIC/_quarantine_from_gemini/Alanis Morissette/(2004) So-Called Chaos/Alanis Morissette - (2004) So-Called Chaos - 10. Everything (1).flac","/Volumes/dotad/MUSIC/olumes/dotad/MUSIC/_quarantine_from_gemini/Alanis Morissette/(2004) So-Called Chaos/Alanis Morissette - (2004) So-Called Chaos - 10. Everything (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alicia Keys/(2021) The Diary of Alicia Keys/Alicia Keys - (2021) The Diary of Alicia Keys - 06. If I Ain't Got You (1).flac","/Volumes/dotad/MUSIC/Alicia Keys/(2021) The Diary of Alicia Keys/Alicia Keys - (2021) The Diary of Alicia Keys - 06. If I Ain't Got You (1).flac","MISSING","MD5=fe8a80da6843aaf6c9299f25a532fa54",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Maruja/(2025) Pain to Power/Maruja - (2025) Pain to Power - 01. Bloodsport (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Maruja/(2025) Pain to Power/Maruja - (2025) Pain to Power - 01. Bloodsport (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Maruja/(2025) Pain to Power/Maruja - (2025) Pain to Power - 06. Trenches (1).flac","/Volumes/dotad/MUSIC/Maruja/(2025) Pain to Power/Maruja - (2025) Pain to Power - 06. Trenches (1).flac","MISSING","MD5=50f82c78805a0e97924af7cdfded44db",""
"olumes/dotad/MUSIC/_quarantine_from_gemini/Maruja/(2025) Pain to Power/Maruja - (2025) Pain to Power - 05. Break the Tension (1).flac","/Volumes/dotad/MUSIC/olumes/dotad/MUSIC/_quarantine_from_gemini/Maruja/(2025) Pain to Power/Maruja - (2025) Pain to Power - 05. Break the Tension (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Maruja/(2025) Pain to Power/Maruja - (2025) Pain to Power - 07. Zaytoun (1).flac","/Volumes/dotad/MUSIC/Maruja/(2025) Pain to Power/Maruja - (2025) Pain to Power - 07. Zaytoun (1).flac","MISSING","MD5=8ae1368871f2744efdd12f7e1b094ffb",""
"olumes/dotad/MUSIC/_quarantine_from_gemini/BC Camplight/(2025) A Sober Conversation/BC Camplight - (2025) A Sober Conversation - 05. Where You Taking My Baby? (1).flac","/Volumes/dotad/MUSIC/olumes/dotad/MUSIC/_quarantine_from_gemini/BC Camplight/(2025) A Sober Conversation/BC Camplight - (2025) A Sober Conversation - 05. Where You Taking My Baby? (1).flac","MISSING","",""
